SPECIES,POP,INDV,O(HOM),E(HOM),N_SITES,F,F_ADJUST
African,AGO,AGO_0105_0311_0414,47806,41740.5,50689,0.67782,0.32218
African,AGO,AGO_0701_0311_0688,51750,45361.2,55006,0.66241,0.33759
African,AGO,AGO_0801_0311_0081,52248,45475.4,55122,0.70207,0.29793
African,AGO,AGO_0808_0311_0001,52224,45553,55210,0.69079,0.30921
Latin_American,BRA,BRA_0184_0001,41479,35168.1,42641,0.8445,0.1555
Latin_American,BRA,BRA_0184_0003,48954,41584.8,50226,0.8528,0.1472
Latin_American,BRA,BRA_0184_0004,43292,37029.9,44865,0.79924,0.20076
Latin_American,BRA,BRA_0184_0005,42338,35475.1,43052,0.90577,0.09423
Latin_American,BRA,BRA_0184_0009,9342,7989.4,9624,0.82748,0.17252
Latin_American,BRA,BRA_0184_0011,24885,20929.1,25414,0.88205,0.11795
Latin_American,BRA,BRA_0184_0012,29194,24827,30051,0.83595,0.16405
African,CMR,CMR_0202_0218_1153,51319,44965,54525,0.66464,0.33536
African,CMR,CMR_1101_0218_0455,50838,44518.1,53981,0.66786,0.33214
African,CMR,CMR_2003_0218_0458,49317,43277.2,52487,0.6558,0.3442
African,CMR,CMR_3002_0218_1386,50381,43272.3,52506,0.76986,0.23014
Latin_American,COL,COL_0211_0007,51364,42816.8,51795,0.952,0.048
Latin_American,COL,COL_0211_0025,54181,45188.3,54643,0.95114,0.04886
Latin_American,COL,COL_0211_0053,49257,41124,49726,0.94548,0.05452
Latin_American,COL,COL_0211_0084,53719,45496.1,55065,0.85934,0.14066
Latin_American,COL,COL_0211_0114,54002,45098,54528,0.94422,0.05578
Latin_American,COL,COL_0211_0157,43240,36032,43539,0.96017,0.03983
Latin_American,COL,COL_0211_0209,52747,44661.6,54064,0.85993,0.14007
Latin_American,COL,COL_0211_0266,50904,42383.1,51287,0.95699,0.04301
Latin_American,COL,COL_0211_0864,50225,41898.5,50675,0.94873,0.05127
Latin_American,COL,COL_0211_1193,48964,40910.3,49454,0.94265,0.05735
Latin_American,COL,COL_0211_1393,44277,36970.7,44720,0.94283,0.05717
Latin_American,COL,COL_0211_1542,48933,40665.3,49164,0.97282,0.02718
Latin_American,COL,COL_0211_1546,45952,38376,46402,0.94393,0.05607
Latin_American,COL,COL_0211_1571,48693,40596.3,49073,0.95517,0.04483
Latin_American,COL,COL_0211_1695,47928,40047.6,48378,0.94598,0.05402
Latin_American,COL,COL_0211_1709,47002,39104.8,47283,0.96564,0.03436
Latin_American,COL,COL_0211_1910,42407,35367.9,42741,0.9547,0.0453
Latin_American,COL,COL_0211_2025,42961,35762.4,43179,0.97061,0.02939
Latin_American,COL,COL_0211_2345,48031,39930.1,48298,0.96809,0.03191
Latin_American,COL,COL_UP1026,47816,40086.2,48479,0.921,0.079
Latin_American,CRI,CRI_0211_0004,54551,45674.6,55261,0.92594,0.07406
Latin_American,CRI,CRI_0211_0015,54766,45718.9,55308,0.94348,0.05652
Latin_American,CRI,CRI_0211_0038,52965,44440.2,53390,0.95251,0.04749
Latin_American,CRI,CRI_0211_0046_Plate0,49501,41102.9,49738,0.97255,0.02745
Latin_American,CRI,CRI_0211_0055,53286,44325.6,53644,0.96158,0.03842
Latin_American,CRI,CRI_0211_0109,50331,41848.4,50609,0.96827,0.03173
Latin_American,CRI,CRI_0211_0116,54595,45688.9,55260,0.93052,0.06948
Latin_American,CRI,CRI_0211_0142,52829,43893.6,53131,0.96731,0.03269
Latin_American,CRI,CRI_0211_0145,48878,40713.6,49215,0.96036,0.03964
Latin_American,CRI,CRI_0211_0150,54831,45754.3,55370,0.94395,0.05605
Latin_American,CRI,CRI_0211_0182,54096,45709.1,55312,0.87337,0.12663
Latin_American,CRI,CRI_0211_0185,54514,45608.2,55162,0.93217,0.06783
Latin_American,CRI,CRI_0211_0187,39478,32912.2,39708,0.96616,0.03384
Latin_American,CRI,CRI_0211_0234,54447,45379.1,54940,0.94844,0.05156
Latin_American,CRI,CRI_0211_0240,50271,41876.5,50632,0.95877,0.04123
Latin_American,CRI,CRI_0211_0287,46713,38974.8,47131,0.94875,0.05125
Latin_American,CRI,CRI_0211_0392,54222,45639.7,55189,0.89874,0.10126
Latin_American,CRI,CRI_0211_0462,54249,45609.2,55203,0.90056,0.09944
Latin_American,CRI,CRI_0211_0473,51915,44047,53335,0.84711,0.15289
Latin_American,CRI,CRI_0211_0519,47567,39648.9,47977,0.95077,0.04923
Latin_American,CRI,CRI_0211_0529,50643,42166.5,50983,0.96144,0.03856
Latin_American,CRI,CRI_0211_0599,54521,45621.5,55197,0.9294,0.0706
Latin_American,CRI,CRI_0211_0651,47749,39799.3,48145,0.95255,0.04745
Latin_American,CRI,CRI_0211_0697,53773,45394.6,54944,0.87737,0.12263
Latin_American,CRI,CRI_0211_0722_Plate0,50908,42405.5,51297,0.95625,0.04375
Latin_American,CRI,CRI_0211_0727,53982,45327.6,54860,0.90789,0.09211
Latin_American,CRI,CRI_0211_0730,54832,45758,55376,0.94344,0.05656
Latin_American,CRI,CRI_0211_0891,50059,41564.7,50301,0.9723,0.0277
Latin_American,CRI,CRI_0211_0991,54042,45483.7,55037,0.89585,0.10415
Latin_American,CRI,CRI_0211_1051,54460,45618,55179,0.9248,0.0752
Latin_American,CRI,CRI_0211_1088,52944,44742.3,54171,0.86986,0.13014
Latin_American,CRI,CRI_0211_1152,53995,45553.2,55120,0.88241,0.11759
Latin_American,CRI,CRI_0211_1251,51797,45071.1,54555,0.70919,0.29081
Latin_American,CRI,CRI_0211_1392,54050,45477.5,55055,0.89507,0.10493
Latin_American,CRI,CRI_0211_1432,54476,45645.6,55212,0.92306,0.07694
Latin_American,CRI,CRI_0211_1941,54614,45579.7,55176,0.94144,0.05856
Latin_American,CRI,CRI_1001_0211_1251,52323,43887.2,53111,0.91457,0.08543
African,GAM,GAM_0306_0398_0108,46208,40200.6,48804,0.69826,0.30174
African,GAM,GAM_0401_0398_0131,43555,38001.8,46165,0.68027,0.31973
African,GAM,GAM_0504_0398_0028,51034,44035.2,53415,0.74616,0.25384
African,GAM,GAM_0509_0398_0046,50983,44235.9,53661,0.71587,0.28413
African,GHA,GHA_0701_0397_0065,47577,41783.2,50713,0.64882,0.35118
African,GHA,GHA_0802_0397_0039,46957,41578.8,50468,0.60503,0.39497
African,GUI,GUI_0203_0354_0249,49241,44571.6,54047,0.49279,0.50721
African,GUI,GUI_0503_0353_0209,48102,42202.3,51220,0.65424,0.34576
African,GUI,GUI_0702_0353_0081,50184,44060.6,53450,0.65216,0.34784
African,GUI,GUI_1205_0353_0041,48498,42189.5,51230,0.69781,0.30219
Latin_American,HND,HND_0201_0211_1332,54814,45647.2,55238,0.95579,0.04421
Latin_American,HND,HND_0202_0211_0020,54902,45664.1,55234,0.96531,0.03469
Latin_American,HND,HND_0202_0211_0220,53909,45358.3,54915,0.89473,0.10527
Latin_American,HND,HND_0202_0211_0533,53050,44330.5,53653,0.93532,0.06468
Latin_American,HND,HND_0204_0211_0633,54679,45550.1,55154,0.95054,0.04946
Latin_American,HND,HND_0204_0211_1424,54542,45551,55148,0.93686,0.06314
Latin_American,HND,HND_0205_0211_0521,54827,45592.5,55138,0.96742,0.03258
Latin_American,HND,HND_0205_0211_1996,53087,44441.4,53778,0.92599,0.07401
Latin_American,HND,HND_0211_0220,36836,30673.9,37033,0.96902,0.03098
Latin_American,HND,HND_0211_0250,54821,45657.1,55234,0.95688,0.04312
Latin_American,HND,HND_0211_0442,54888,45681.9,55246,0.96257,0.03743
Latin_American,HND,HND_0211_0537,54749,45586.3,55121,0.96098,0.03902
Latin_American,HND,HND_0211_0632,28210,23574,28460,0.94883,0.05117
Latin_American,HND,HND_0211_0857,45050,37584.4,45422,0.95254,0.04746
Latin_American,HND,HND_0211_0860,54843,45795.5,55432,0.93888,0.06112
Latin_American,HND,HND_0211_0970,54754,45584.4,55168,0.9568,0.0432
Latin_American,HND,HND_0211_1241,46175,38570.1,46608,0.94613,0.05387
Latin_American,HND,HND_0211_1533,15214,12824.6,15335,0.9518,0.0482
Latin_American,HND,HND_0211_1595,54588,45719.5,55311,0.92462,0.07538
Latin_American,HND,HND_0211_2017,7215,6070.7,7273,0.95176,0.04824
Latin_American,HND,HND_0211_2517,22386,18772.5,22583,0.9483,0.0517
Latin_American,HND,HND_0302_0211_1148,52107,43550.3,52723,0.93284,0.06716
Latin_American,HND,HND_0302_0211_1826,53148,44321.2,53659,0.94528,0.05472
African,MDG,MDG_0101_024_0025,43009,35763.7,43445,0.94324,0.05676
African,MDG,MDG_0106_024_0009,48640,40622,49241,0.93027,0.06973
African,MDG,MDG_0301_024_0038,48855,40607.8,49215,0.95817,0.04183
African,MDG,MDG_0305_024_0001,49271,40971.7,49662,0.95501,0.04499
African,MDG,MDG_0403_024_0011,47016,39636.1,48048,0.87732,0.12268
African,NGA,NGA_0606_0152_0369,48408,42312.4,51367,0.67321,0.32679
African,NGA,NGA_0901_0152_0344,51051,44752.3,54267,0.662,0.338
African,NGA,NGA_2305_0152_0368,49182,42994.5,52140,0.67656,0.32344
African,NGA,NGA_2504_0152_0323,48015,42156.5,51146,0.6517,0.3483
Latin_American,PAN,PAN_0101_0211_0113,51345,42917.8,51930,0.93509,0.06491
Latin_American,PAN,PAN_0101_0211_1719,52564,43991.9,53248,0.9261,0.0739
Latin_American,PAN,PAN_0201_0211_2421,52757,44627.7,54037,0.86396,0.13604
Latin_American,PAN,PAN_0202_0211_0501,54350,45713,55330,0.8981,0.1019
Latin_American,PAN,PAN_0202_0211_1018,54766,45717,55319,0.94241,0.05759
Latin_American,PAN,PAN_0202_0211_1618,54444,45625.7,55229,0.91826,0.08174
Latin_American,PAN,PAN_0202_0211_1832,49822,41764.6,50572,0.91484,0.08516
Latin_American,PAN,PAN_0211_0008,15176,12747.3,15295,0.95329,0.04671
Latin_American,PAN,PAN_0211_0013,45503,37941.1,45878,0.95275,0.04725
Latin_American,PAN,PAN_0211_0014,54243,45532.3,55037,0.91646,0.08354
Latin_American,PAN,PAN_0211_0030,49941,41651.4,50386,0.94905,0.05095
Latin_American,PAN,PAN_0211_0143,52269,43527.2,52664,0.95677,0.04323
Latin_American,PAN,PAN_0211_0151,53425,45234.1,54749,0.86085,0.13915
Latin_American,PAN,PAN_0211_0233,50385,42013.6,50785,0.9544,0.0456
Latin_American,PAN,PAN_0211_0243,54578,45671.4,55246,0.93023,0.06977
Latin_American,PAN,PAN_0211_0300,44637,37960.3,45942,0.8365,0.1635
Latin_American,PAN,PAN_0211_0301,36251,30250.1,36519,0.95725,0.04275
Latin_American,PAN,PAN_0211_0347,53845,45342.8,54871,0.89232,0.10768
Latin_American,PAN,PAN_0211_0381,51366,42717.1,51673,0.96572,0.03428
Latin_American,PAN,PAN_0211_0691,42329,35339.2,42718,0.94728,0.05272
Latin_American,PAN,PAN_0211_0692,54294,45656.6,55229,0.90232,0.09768
Latin_American,PAN,PAN_0211_0741,44635,37168.4,44947,0.95989,0.04011
Latin_American,PAN,PAN_0211_0775,53153,44272.5,53587,0.95341,0.04659
Latin_American,PAN,PAN_0211_0818,54406,45551.7,55124,0.92499,0.07501
Latin_American,PAN,PAN_0211_1087,44853,37369.1,45183,0.95777,0.04223
Latin_American,PAN,PAN_0211_1144,53548,45140.2,54636,0.88542,0.11458
Latin_American,PAN,PAN_0211_1200,52801,44053.6,53297,0.94634,0.05366
Latin_American,PAN,PAN_0211_1311,53843,45389.8,54946,0.88458,0.11542
Latin_American,PAN,PAN_0211_1486,54601,45631,55172,0.94015,0.05985
Latin_American,PAN,PAN_0211_1507,27236,22802.9,27454,0.95313,0.04687
Latin_American,PAN,PAN_0211_2075,48535,40407.9,48859,0.96166,0.03834
Latin_American,PAN,PAN_0211_2445,53704,45420.1,54972,0.86725,0.13275
Latin_American,PAN,PAN_0301_0211_0480,54834,45659.4,55269,0.95473,0.04527
Latin_American,PAN,PAN_0301_0211_1323,54552,45716.1,55340,0.91812,0.08188
Latin_American,PAN,PAN_0302_0211_0102,53084,44420.5,53778,0.92583,0.07417
Latin_American,PAN,PAN_0302_0211_0721,54698,45628.5,55184,0.94914,0.05086
Latin_American,PAN,PAN_0302_0211_0787,54682,45750.1,55357,0.92974,0.07026
Latin_American,PAN,PAN_0302_0211_1102,54554,45690.6,55292,0.92314,0.07686
Latin_American,PAN,PAN_0302_0211_1430,54847,45738.5,55341,0.94856,0.05144
Latin_American,PAN,PAN_0401_0211_1718,52276,43785.3,52977,0.92374,0.07626
Latin_American,PAN,PAN_0402_0211_1696,54219,45417.9,54992,0.91926,0.08074
Latin_American,PAN,PAN_0402_0211_1744,50094,41919.6,50738,0.92697,0.07303
Latin_American,PAN,PAN_0504_0211_1017,52652,44148.8,53439,0.91529,0.08471
Latin_American,PAN,PAN_0504_0211_1751,54432,45699.4,55302,0.9094,0.0906
Latin_American,PAN,PAN_0601_0211_0090,54046,45661.7,55239,0.87543,0.12457
Latin_American,PAN,PAN_0601_0211_2117,54361,45633,55257,0.9069,0.0931
Latin_American,PAN,PAN_0602_0211_1083,52180,43738.7,52932,0.9182,0.0818
Latin_American,PAN,PAN_0602_0211_1596,54708,45620.5,55217,0.94696,0.05304
Latin_American,PAN,PAN_0701_0211_1558,54544,45584.3,55182,0.93353,0.06647
Latin_American,PAN,PAN_0701_0211_2461,53269,45321.2,54846,0.83443,0.16557
Latin_American,PAN,PAN_0702_0211_0044,50182,42116.7,50971,0.91089,0.08911
Latin_American,PAN,PAN_0702_0211_1858,54404,45503.3,55083,0.92912,0.07088
Latin_American,PAN,PAN_0801_0211_0024,52716,44437.8,53827,0.88167,0.11833
Latin_American,PAN,PAN_0801_0211_0561,52539,43913.8,53138,0.93506,0.06494
Latin_American,PAN,PAN_0801_0211_1170,50636,42358.8,51266,0.92927,0.07073
Latin_American,PAN,PAN_0802_0211_0439,54780,45592.6,55164,0.95988,0.04012
Latin_American,PAN,PAN_0802_0211_1245,54903,45677.7,55278,0.96094,0.03906
Latin_American,PAN,PAN_0901_0211_1449,49059,41032.1,49661,0.93023,0.06977
Latin_American,PAN,PAN_0901_0211_2154,52540,43943.6,53180,0.93071,0.06929
Latin_American,PAN,PAN_0902_0211_0747,53436,44868.6,54331,0.90541,0.09459
Latin_American,PAN,PAN_0902_0211_1998,54785,45709,55309,0.94542,0.05458
Latin_American,PAN,PAN_1001_0211_0432,52682,44062.1,53321,0.93099,0.06901
Latin_American,PAN,PAN_1001_0211_1574,54523,45626.9,55230,0.92638,0.07362
Latin_American,PAN,PAN_1002_0211_0267,54500,45683.5,55303,0.91652,0.08348
Latin_American,PAN,PAN_1002_0211_1697,54318,45590,55197,0.9085,0.0915
Latin_American,PAN,PAN_1101_0211_0662,52118,43771.5,52964,0.90797,0.09203
Latin_American,PAN,PAN_1101_0211_1081,53146,44799.3,54241,0.88403,0.11597
Latin_American,PAN,PAN_1102_0211_0123,52258,43823.8,53041,0.91505,0.08495
Latin_American,PAN,PAN_1102_0211_0269,54451,45420,54891,0.95354,0.04646
Latin_American,PAN,PAN_1201_0211_0274,54501,45613.1,55183,0.92874,0.07126
Latin_American,PAN,PAN_1301_0211_0494,51602,43127.2,52195,0.9346,0.0654
Latin_American,PAN,PAN_1301_0211_1570,54871,45674.4,55269,0.95852,0.04148
Latin_American,PAN,PAN_1302_0211_0185,54234,45539.7,55125,0.90705,0.09295
Latin_American,PAN,PAN_1302_0211_1472,54776,45649.2,55224,0.95321,0.04679
Latin_American,PER,PER_0464_0001,42523,36398.3,44193,0.78575,0.21425
Latin_American,PER,PER_0464_0003,46598,39794.3,48271,0.80263,0.19737
Latin_American,PER,PER_0464_0010,46299,39401.3,47818,0.81953,0.18047
Latin_American,PER,PER_0464_0144,37336,31874.1,38700,0.80017,0.19983
Latin_American,PER,PER_0464_0145,32741,27914.4,33883,0.80867,0.19133
Latin_American,PER,PER_0464_0147,36905,31497.7,38307,0.7941,0.2059
Latin_American,PER,PER_0464_0149,30889,26323.1,31960,0.81,0.19
Latin_American,PER,PER_0464_0151,35910,30632,37332,0.78776,0.21224
African,SEN,SEN_0403_0352_0198,51455,44327.5,53777,0.75427,0.24573
African,SEN,SEN_0804_0352_0121,51030,44226.7,53642,0.72258,0.27742
African,SEN,SEN_1005_0352_0212,48608,42105.9,51112,0.72197,0.27803
African,SEN,SEN_1201_0352_0170,49168,42268.7,51317,0.7625,0.2375
African,SLE,SLE_0403_0355_0162,49496,43667.1,52974,0.6263,0.3737
African,SLE,SLE_0603_0355_0104,47036,41197.4,50048,0.65969,0.34031
African,SLE,SLE_1101_0355_0052,50363,44228.6,53671,0.64967,0.35033
African,SLE,SLE_1402_0355_0170,51187,43547.3,52835,0.82256,0.17744
Latin_American,TAI,TAI_0508_0139,38997,32957,40080,0.84796,0.15204
Latin_American,TAI,TAI_0508_0144,14462,12205,14822,0.86244,0.13756
Latin_American,TAI,TAI_0508_0171,44943,38048.7,46156,0.85038,0.14962
Latin_American,TAI,TAI_0508_0175,19154,16172.8,19549,0.88301,0.11699
Latin_American,TAI,TAI_0508_0190,43187,36368.7,44199,0.87076,0.12924
Latin_American,TAI,TAI_0508_0206,27850,23503.6,28515,0.8673,0.1327
Latin_American,TAI,TAI_0508_0217,27559,23143.3,28260,0.863,0.137
Latin_American,TAI,TAI_0508_0230,26623,22413.9,27298,0.8618,0.1382
African,TZA,TZA_0407_0256_0696,51748,45016.3,54572,0.70447,0.29553
African,TZA,TZA_0501_0256_2246,46972,41007,49767,0.68094,0.31906
African,TZA,TZA_0901_0256_0803,51264,44721.9,54237,0.68755,0.31245
African,TZA,TZA_1001_0256_0327,51287,44787.9,54308,0.68267,0.31733
African,ZRE,ZRE_1807_0221_1605,49881,43599.9,52900,0.67538,0.32462
African,ZRE,ZRE_2903_0221_1544,48099,41980.3,50958,0.68154,0.31846
African,ZRE,ZRE_3205_0221_1721,39721,34721.5,42212,0.66745,0.33255
African,ZRE,ZRE_4002_0222_0886,48960,42756.7,51896,0.67875,0.32125